sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,time
29.399956,33.925518,26.750849,0.8403452,46.840656,59.63274,31.264896,4.2198377,0.046505425,3.0737553,0.017355308,0.0838431,0.7502978,0.47829527,2026-02-28 00:45:01.884000+00:00
29.201288,33.801,26.39472,0.87997043,44.940235,56.585922,30.193872,3.822092,0.04874169,3.7013905,0.017980754,0.09236473,0.9402029,-0.058349982,2026-03-31 00:45:01.884000+00:00
28.327253,32.60905,25.17426,0.9872068,40.987778,50.641785,27.62437,3.6062868,0.047558982,3.803489,0.017993007,0.082440756,0.89729565,-0.59194547,2026-04-30 00:45:01.884000+00:00
27.13221,31.371372,22.636305,1.1807693,35.86104,44.357086,24.867142,3.5222874,0.045076564,3.923625,0.0178989,0.070142694,0.6441846,-1.0157709,2026-05-31 00:45:01.884000+00:00
26.26018,30.13332,20.017763,1.3617544,33.25405,40.826077,23.973282,3.0952368,0.042768724,3.3518696,0.018406807,0.058016486,0.18419795,-1.0692505,2026-06-30 00:45:01.884000+00:00
25.671143,29.340197,18.665873,1.5320518,33.937153,41.165215,25.732056,2.680667,0.04042404,2.23463,0.01994551,0.041763328,-0.35346237,-0.9079546,2026-07-31 00:45:01.884000+00:00
25.435093,29.831882,19.519505,1.4854851,39.524296,46.502007,30.107754,2.5286765,0.03850398,1.5473399,0.021065721,0.03497135,-0.78861547,-0.56013757,2026-08-31 00:45:01.884000+00:00
26.023582,30.837399,21.919184,1.200294,49.9019,54.411125,35.15827,2.3542478,0.036977205,2.032713,0.020491524,0.039784603,-0.85552484,-0.082766965,2026-09-30 00:45:01.884000+00:00
27.308535,32.18,24.060972,0.9229092,57.81671,61.671814,40.7243,2.6675403,0.036856666,2.4234924,0.019428689,0.037407745,-0.7212052,0.5189215,2026-10-31 00:45:01.884000+00:00
28.576427,32.946873,25.371727,0.8886353,58.94564,64.50893,41.387104,3.42243,0.03638058,1.6979922,0.018845117,0.032077827,-0.25450778,0.954309,2026-11-30 00:45:01.884000+00:00
29.518383,33.60194,26.333912,0.87801766,54.453304,64.52488,35.89746,4.1613703,0.03786789,1.45668,0.01784248,0.039947078,0.11357238,1.0486143,2026-12-31 00:45:01.884000+00:00
29.16276,34.094482,26.867214,0.7673771,49.84202,62.509727,32.578403,4.2793093,0.043017555,2.712547,0.018063983,0.07329832,0.54901206,0.85806656,2027-01-31 00:45:01.884000+00:00
29.649916,34.582138,27.084538,0.7881888,48.7427,58.78239,33.537895,3.6535127,0.047541067,3.8534548,0.018618872,0.094662845,0.8391317,0.37540862,2027-02-28 00:45:01.884000+00:00
29.564425,33.998436,26.935171,0.7604848,47.09886,56.260468,34.400032,3.09815,0.04715754,3.3977833,0.019465204,0.08326185,0.96706337,0.06541184,2027-03-31 00:45:01.884000+00:00
28.674273,32.606884,25.420921,0.7991902,41.605194,50.254913,31.954077,2.745959,0.046521984,2.9021292,0.019922474,0.06649174,0.97970253,-0.5211322,2027-04-30 00:45:01.884000+00:00
27.12036,30.58731,22.309536,0.9882604,34.057663,42.1607,26.457249,2.6701305,0.044885904,2.6184406,0.020116908,0.05299451,0.69252855,-1.0801618,2027-05-31 00:45:01.884000+00:00
25.847994,28.876299,19.590965,1.1679313,32.223156,37.969124,23.837713,2.2813652,0.043962404,2.9681556,0.020927133,0.049631298,0.22970629,-1.1490839,2027-06-30 00:45:01.884000+00:00
24.97905,27.782059,18.723728,1.3003379,33.588566,39.30249,24.218323,1.9926659,0.04335412,2.6096632,0.022749025,0.04279469,-0.39441594,-0.95845425,2027-07-31 00:45:01.884000+00:00
24.418386,27.425566,19.361095,1.2628964,39.05658,44.663136,28.226166,2.075923,0.042653736,1.7888592,0.024256635,0.03394742,-0.9878263,-0.59410274,2027-08-31 00:45:01.884000+00:00
24.884531,27.965927,21.186453,0.9880526,47.867386,55.48271,34.204147,2.4577594,0.041400697,1.4363346,0.023932567,0.033967867,-1.3844285,0.11255696,2027-09-30 00:45:01.884000+00:00
25.792799,29.247522,23.224874,0.7527198,55.292557,61.805023,38.8716,3.0593886,0.039712615,1.2195526,0.022202374,0.031789962,-1.0672737,0.71921295,2027-10-31 00:45:01.884000+00:00
27.019815,30.696562,24.60505,0.7823772,58.408035,64.39597,42.34877,3.4052317,0.038206834,0.9174977,0.020870734,0.028037004,-0.6247813,0.98891747,2027-11-30 00:45:01.884000+00:00
28.426167,32.00657,25.53688,0.8467323,56.190067,65.2683,41.96386,3.7618945,0.038019225,0.7966231,0.019782426,0.02987728,-0.17437048,1.0680807,2027-12-31 00:45:01.884000+00:00
29.168198,33.05612,26.915712,0.75917596,52.740215,64.547325,36.409416,4.137409,0.04129193,2.1960628,0.019275889,0.05621702,0.44636628,0.9467604,2028-01-31 00:45:01.884000+00:00
29.322222,33.138,27.446482,0.6608307,52.019566,60.784985,36.211582,3.685227,0.044782236,3.5904279,0.02004031,0.07742719,0.8860543,0.3897534,2028-02-29 00:45:01.884000+00:00
29.158813,32.65007,26.81382,0.6616936,48.394375,56.04075,35.431812,3.0043967,0.045658555,3.0221972,0.02086711,0.06657401,1.0153693,-0.040246043,2028-03-31 00:45:01.884000+00:00
28.412651,31.558443,25.469875,0.69166225,43.4282,50.828835,32.469646,2.5562294,0.04492563,2.1378293,0.021419378,0.049453408,0.95679337,-0.47615418,2028-04-30 00:45:01.884000+00:00
27.020395,29.987581,22.339691,0.91171026,36.703262,43.568798,27.669357,2.3898654,0.043632526,1.5608014,0.02152135,0.03827477,0.5033156,-0.881772,2028-05-31 00:45:01.884000+00:00
25.594948,28.99952,19.878208,1.114311,34.612816,40.43924,25.05187,2.3683627,0.042324904,1.1762747,0.021642989,0.03184303,-0.043871216,-0.97611916,2028-06-30 00:45:01.884000+00:00
24.704195,28.625813,19.276535,1.232268,35.61051,42.736664,25.78796,2.3979213,0.04024824,0.7980878,0.021969812,0.024446066,-0.60811234,-0.7638192,2028-07-31 00:45:01.884000+00:00
24.686495,28.516436,20.192175,1.1419264,41.750195,48.549656,28.947859,2.5293546,0.038232453,0.9596698,0.021999277,0.02784477,-0.87873167,-0.33474743,2028-08-31 00:45:01.884000+00:00
25.469995,29.474714,21.991339,0.92824817,50.288265,56.001343,33.683643,2.6481488,0.038102407,1.7538123,0.02177221,0.03640866,-0.98156524,0.14411774,2028-09-30 00:45:01.884000+00:00
26.47524,30.852943,23.884312,0.83711004,56.025444,62.022034,37.694614,3.023158,0.03856824,1.9594829,0.021466775,0.03672953,-0.7846101,0.5872786,2028-10-31 00:45:01.884000+00:00
27.490192,32.002388,25.02973,0.89842916,58.367813,65.01597,39.414383,3.45142,0.038332652,1.4389291,0.020942112,0.03205972,-0.3721717,0.81579775,2028-11-30 00:45:01.884000+00:00
28.394432,32.836956,25.694956,0.93901706,56.740685,64.92285,38.292625,3.7862074,0.038782172,1.0108222,0.020343447,0.029079678,0.004433138,0.8952532,2028-12-31 00:45:01.884000+00:00
29.34187,33.355488,26.897903,0.95176643,51.09944,62.053364,32.098087,4.0217714,0.039271392,0.8932791,0.018681632,0.03156006,0.5182642,0.75627166,2029-01-31 00:45:01.884000+00:00
29.380394,33.47339,27.368477,0.77310157,48.419327,59.595905,31.470835,3.6954136,0.04198055,1.9540944,0.019565988,0.053206317,0.90363824,0.3925837,2029-02-28 00:45:01.884000+00:00
29.240322,33.04206,26.597492,0.76200855,46.727444,55.417095,32.069115,3.087237,0.045200557,2.8687248,0.020609345,0.06862015,1.0429902,-0.11862619,2029-03-31 00:45:01.884000+00:00
28.26622,31.86158,25.235119,0.80631757,41.59925,49.65316,30.725342,2.6180274,0.04444971,2.2428136,0.020906549,0.05259159,0.9295395,-0.60749435,2029-04-30 00:45:01.884000+00:00
26.822636,30.058756,22.27209,0.9708708,35.781223,43.221474,27.155024,2.4580765,0.042389546,1.4419903,0.021214075,0.037354235,0.48009023,-0.93911284,2029-05-31 00:45:01.884000+00:00
25.543653,28.99708,20.263887,1.1468091,35.088623,41.25942,25.640564,2.2324781,0.041303687,1.0577033,0.021475684,0.028961752,-0.09071696,-0.98532176,2029-06-30 00:45:01.884000+00:00
24.991907,28.528769,19.819386,1.2430104,36.556362,42.263443,26.360851,2.1286871,0.040151093,0.95251584,0.022299247,0.026436139,-0.556589,-0.8043977,2029-07-31 00:45:01.884000+00:00
24.994526,28.247725,20.673895,1.1352923,42.39139,46.70382,28.805384,2.2551336,0.039612602,1.2755883,0.022745604,0.030817505,-0.87003565,-0.40567622,2029-08-31 00:45:01.884000+00:00
25.38892,28.875608,22.59644,0.8888433,51.011414,55.163315,34.499664,2.5837388,0.039463162,2.0860293,0.02235517,0.040691882,-0.97684413,0.22405988,2029-09-30 00:45:01.884000+00:00
26.27934,30.187248,24.058762,0.83639395,55.901382,61.427025,39.55559,2.910682,0.03871262,2.0864506,0.021340327,0.037834276,-0.8106469,0.63367075,2029-10-31 00:45:01.884000+00:00
27.640717,31.610218,24.904272,0.89904374,57.0859,64.1771,41.479084,3.334094,0.03792658,1.3715985,0.020103067,0.030119507,-0.34072635,0.8638415,2029-11-30 00:45:01.884000+00:00
29.170147,32.615936,25.730482,0.97039086,53.394424,63.43566,37.68684,3.796683,0.03801788,0.8724391,0.018606316,0.02838324,0.15037759,0.9038558,2029-12-31 00:45:01.884000+00:00
29.116219,33.378227,26.881046,0.83824676,50.371178,62.713295,35.156097,3.8818533,0.04100791,1.8500216,0.018672053,0.05131089,0.54186964,0.799499,2030-01-31 00:45:01.884000+00:00
28.995102,33.025875,26.91562,0.72118104,49.656113,58.493256,35.91073,3.2328053,0.04473551,3.0498266,0.02017731,0.07155787,0.8235829,0.31693763,2030-02-28 00:45:01.884000+00:00
28.788202,32.071735,25.816666,0.69496167,46.912773,54.59746,35.738823,2.731258,0.044765193,2.380149,0.021129712,0.058297448,0.86687607,-0.034196995,2030-03-31 00:45:01.884000+00:00
27.67614,30.713465,24.2287,0.7742193,40.24852,47.767414,31.513868,2.4281993,0.043828007,1.4521178,0.021257965,0.038945273,0.77401316,-0.5710496,2030-04-30 00:45:01.884000+00:00
26.400211,29.324047,21.356026,0.9830534,35.276638,42.584316,27.111273,2.3249588,0.04223341,0.99592596,0.021425601,0.031702064,0.35029742,-0.94742906,2030-05-31 00:45:01.884000+00:00
25.269123,28.478897,19.942554,1.1470857,35.433937,41.24621,25.313839,2.1291456,0.041562088,1.1054786,0.02202202,0.029662274,-0.16110317,-0.96170413,2030-06-30 00:45:01.884000+00:00
24.723904,28.02072,19.638872,1.2192649,37.193005,42.500206,25.979359,2.0782802,0.041022528,1.1187708,0.023105633,0.028836936,-0.66102,-0.73313606,2030-07-31 00:45:01.884000+00:00
24.710495,27.912872,20.510082,1.1194822,42.606903,48.462585,29.40709,2.2858057,0.040488977,1.0152795,0.023553966,0.028219428,-1.043282,-0.3548944,2030-08-31 00:45:01.884000+00:00
24.874043,28.313225,22.146643,0.88031644,49.23368,56.501083,34.0746,2.6323085,0.040208984,1.2739394,0.023081677,0.032436416,-1.1160886,0.13594456,2030-09-30 00:45:01.884000+00:00
25.835604,29.326849,23.610703,0.7615961,54.7245,61.394203,37.77219,3.2084103,0.03950028,1.2267634,0.022169806,0.032008197,-0.8724496,0.64173645,2030-10-31 00:45:01.884000+00:00
26.963636,30.848383,24.840681,0.81600636,58.12832,64.55072,41.3467,3.5360622,0.038627207,1.0823493,0.021201394,0.028066006,-0.5198737,0.93465394,2030-11-30 00:45:01.884000+00:00
28.188076,32.11721,25.641327,0.878088,56.921402,64.96015,41.467556,3.8073053,0.038306292,0.76431614,0.020507168,0.025189582,-0.1073474,1.0101948,2030-12-31 00:45:01.884000+00:00
29.156504,32.617214,26.207329,0.84482044,53.733196,64.36364,38.74171,3.9475503,0.039214242,0.9160205,0.020269651,0.030281406,0.37379983,0.9062047,2031-01-31 00:45:01.884000+00:00
29.157959,32.997543,27.097782,0.673609,50.847134,60.072,35.501057,3.5185587,0.043168105,2.6224978,0.020954825,0.06027947,0.9222832,0.42551926,2031-02-28 00:45:01.884000+00:00
29.018261,32.724216,26.519104,0.6774018,49.5463,56.07672,35.51165,2.8124943,0.044733424,2.8742042,0.02166664,0.063251525,0.94711024,0.007038198,2031-03-31 00:45:01.884000+00:00
28.19886,31.494652,24.993856,0.673319,43.754063,50.61997,32.986343,2.4115615,0.043991383,1.8967712,0.022062257,0.0456733,0.82083297,-0.3619716,2031-04-30 00:45:01.884000+00:00
26.889393,29.992006,22.33087,0.8687496,37.64143,44.22008,28.793047,2.190823,0.04264099,1.3176621,0.022023609,0.034300867,0.42724198,-0.7860993,2031-05-31 00:45:01.884000+00:00
25.659473,29.09324,20.356274,1.0523013,35.771584,41.78469,25.996098,2.250381,0.04151676,0.98615587,0.022036873,0.029304333,-0.058347106,-0.9312652,2031-06-30 00:45:01.884000+00:00
24.942657,28.762224,19.70769,1.204068,36.51504,42.9719,25.717417,2.2912633,0.04032989,0.8170123,0.022445869,0.0246818,-0.5102048,-0.7946477,2031-07-31 00:45:01.884000+00:00
24.892443,28.471329,20.091957,1.1683351,40.181595,47.12077,27.797493,2.4293797,0.03902399,0.75554454,0.022506418,0.024601376,-0.8027319,-0.43812814,2031-08-31 00:45:01.884000+00:00
25.14064,29.015652,21.579418,0.9673034,48.256905,54.29338,31.936382,2.686024,0.038618986,1.4385844,0.022333914,0.034175627,-0.9217133,0.020012923,2031-09-30 00:45:01.884000+00:00
26.152697,30.337679,23.504953,0.840194,54.557743,60.839874,36.862335,2.8664334,0.03882816,1.9375565,0.021804955,0.036294546,-0.837111,0.49088803,2031-10-31 00:45:01.884000+00:00
27.079414,31.700277,24.87138,0.9010033,58.5399,64.884575,39.213997,3.3701594,0.038596638,1.5703084,0.021407975,0.032967992,-0.47421893,0.7880538,2031-11-30 00:45:01.884000+00:00
28.30442,32.682487,25.526928,0.9605494,57.12684,64.8349,38.59733,3.7425838,0.038825177,1.0417908,0.02065715,0.028420068,-0.055111177,0.927486,2031-12-31 00:45:01.884000+00:00
29.261047,33.361332,26.466621,0.98328334,52.358116,62.44162,33.43652,4.107706,0.039349888,0.8336191,0.019038057,0.028794616,0.40811822,0.8201673,2032-01-31 00:45:01.884000+00:00
29.346588,33.397644,27.061043,0.8873816,48.8529,60.109344,30.738794,3.870493,0.040293984,1.1507294,0.01908639,0.036304038,0.7474515,0.6054463,2032-02-29 00:45:01.884000+00:00
29.153666,32.879574,26.626444,0.78057796,47.24958,56.006275,31.39237,3.222558,0.043788474,2.3675303,0.02047453,0.059039693,0.94480944,0.004507626,2032-03-31 00:45:01.884000+00:00
28.250921,31.735487,25.199518,0.8448452,42.20889,49.76286,30.04888,2.7168186,0.043888636,1.9600842,0.020866696,0.048869688,0.883756,-0.47290292,2032-04-30 00:45:01.884000+00:00
26.812492,30.0452,21.932955,1.0402825,36.873245,44.32878,27.389893,2.5001962,0.042021375,1.2303997,0.021176854,0.036099073,0.3604888,-0.8454753,2032-05-31 00:45:01.884000+00:00
25.543718,29.211544,19.954847,1.2391169,36.287613,42.192787,26.035719,2.3599098,0.041087393,1.073746,0.021546844,0.028964791,-0.19141416,-0.90199196,2032-06-30 00:45:01.884000+00:00
25.18352,28.795023,19.835135,1.3201839,37.677826,44.190834,27.245384,2.2758577,0.04004834,1.0423758,0.022283418,0.027239764,-0.66240716,-0.637562,2032-07-31 00:45:01.884000+00:00
25.30213,28.619953,20.849144,1.184454,45.10881,49.249245,30.435492,2.4856274,0.039771073,1.6598866,0.022745278,0.03444855,-0.91342866,-0.23573837,2032-08-31 00:45:01.884000+00:00
26.101389,29.788956,22.904024,0.96584696,52.97735,57.39458,36.57163,2.588691,0.0396183,2.3901148,0.02180043,0.040775415,-0.91784245,0.30133593,2032-09-30 00:45:01.884000+00:00
27.298409,31.460821,24.436499,0.92642957,57.18876,63.414547,40.49597,3.1240652,0.03849513,1.9963287,0.020859752,0.03557985,-0.5742486,0.72435904,2032-10-31 00:45:01.884000+00:00
28.35872,32.638584,25.472317,0.9543141,57.27698,65.3275,40.983433,3.61037,0.038252573,1.4387101,0.019976638,0.030871544,-0.16423194,0.9107481,2032-11-30 00:45:01.884000+00:00
29.062113,33.213097,26.156937,0.96426034,54.274017,63.554153,36.623306,3.9750223,0.038338874,0.9921371,0.018922344,0.027067665,0.19819424,0.8329322,2032-12-31 00:45:01.884000+00:00
29.125076,33.804092,27.023928,0.8409463,50.52642,62.962673,33.30254,4.074028,0.04029642,1.6624076,0.018368093,0.047461808,0.52217805,0.75148785,2033-01-31 00:45:01.884000+00:00
29.304268,33.69327,26.830168,0.7493453,48.91066,58.968483,34.168243,3.634304,0.045161996,3.4865124,0.019501522,0.08278468,0.7907958,0.33949724,2033-02-28 00:45:01.884000+00:00
29.328213,33.420975,26.500206,0.7716521,46.94641,56.032795,34.20833,3.0460253,0.045831457,3.2148042,0.02006617,0.07853587,0.92748815,-0.006677582,2033-03-31 00:45:01.884000+00:00
28.202818,31.701351,24.503836,0.84839904,40.636517,48.37399,30.794048,2.6348984,0.044500425,2.308288,0.020599632,0.055248145,0.8421687,-0.62845427,2033-04-30 00:45:01.884000+00:00
26.638622,29.784641,21.226397,1.0595019,34.2235,41.155495,26.371737,2.449143,0.042692926,1.8933871,0.02083202,0.04324866,0.4256351,-1.0386722,2033-05-31 00:45:01.884000+00:00
25.355953,28.407429,19.365463,1.2840714,34.10363,39.495064,24.77091,2.0226092,0.042248756,1.8722539,0.021928668,0.038897205,-0.1767676,-1.037072,2033-06-30 00:45:01.884000+00:00
24.787163,27.890966,19.187572,1.3562285,36.687225,41.715652,26.044771,1.9439576,0.041612286,1.6171237,0.023259435,0.033103816,-0.7506185,-0.7899684,2033-07-31 00:45:01.884000+00:00
24.800598,28.046703,20.569315,1.2464437,43.053844,48.208237,29.987522,2.2389123,0.040980484,1.8219203,0.023536906,0.03551572,-1.120451,-0.3289843,2033-08-31 00:45:01.884000+00:00
25.327135,28.801079,22.457691,0.9348044,51.352554,57.023453,35.666504,2.683468,0.04049905,2.15662,0.022760177,0.039556123,-1.1938754,0.36205164,2033-09-30 00:45:01.884000+00:00
26.43814,30.268284,23.96479,0.8231587,56.573887,62.06048,40.681065,3.107078,0.03893779,1.7862066,0.021308374,0.034309633,-0.8682412,0.7779552,2033-10-31 00:45:01.884000+00:00
27.776861,31.611107,24.849014,0.8824864,56.82724,64.56964,42.16615,3.5295033,0.037925534,1.1399016,0.020016879,0.02829833,-0.42180708,0.9331841,2033-11-30 00:45:01.884000+00:00
29.163815,32.94021,25.846802,0.88900775,53.147507,64.79773,38.004967,4.0119677,0.038764566,1.3135977,0.018878302,0.039203636,0.06122691,0.9829081,2033-12-31 00:45:01.884000+00:00
28.892908,33.436523,27.176195,0.7142463,51.264687,62.683018,36.5133,3.9393246,0.04269797,3.0188227,0.019550238,0.069704615,0.5994861,0.70252705,2034-01-31 00:45:01.884000+00:00
29.195356,33.203903,27.123547,0.65327513,51.005272,59.93662,37.284195,3.4523423,0.04445106,3.364728,0.020362753,0.07366052,0.874544,0.35110998,2034-02-28 00:45:01.884000+00:00
29.011957,32.484646,26.144953,0.6584982,48.40973,55.66164,36.44518,2.778017,0.04512047,2.6788225,0.021265823,0.062351048,0.94135314,-0.022933561,2034-03-31 00:45:01.884000+00:00
27.941896,31.192368,24.531261,0.70054364,41.69934,49.11512,32.415897,2.3951797,0.044409517,1.7464428,0.021546884,0.044369675,0.80905515,-0.48722118,2034-04-30 00:45:01.884000+00:00
26.591543,29.558455,21.565056,0.91428256,35.18367,42.51643,27.852886,2.186296,0.042707942,1.2543296,0.021735918,0.034398556,0.37341622,-0.9092617,2034-05-31 00:45:01.884000+00:00
25.434095,28.612885,19.913322,1.0580115,34.597374,40.397427,25.489677,2.0823128,0.041931044,1.2030413,0.022007046,0.032352317,-0.10371573,-1.0031861,2034-06-30 00:45:01.884000+00:00
24.758427,28.230434,19.612825,1.1479726,36.86962,41.955856,25.837019,2.0721521,0.040990185,1.1469822,0.022924904,0.028654367,-0.578933,-0.8417643,2034-07-31 00:45:01.884000+00:00
24.67358,28.171892,20.31643,1.0816934,40.783463,47.064007,28.606195,2.2664392,0.039742704,0.9430984,0.02295796,0.027777344,-0.9341904,-0.4347219,2034-08-31 00:45:01.884000+00:00
24.883467,28.55566,22.048454,0.8497446,48.911934,55.501324,33.446102,2.6224103,0.039188724,1.3594052,0.022573851,0.03492954,-1.0789511,0.11819399,2034-09-30 00:45:01.884000+00:00
25.831081,29.613533,23.592653,0.75859237,54.646706,61.12595,37.656845,3.0182066,0.038837925,1.5323339,0.021837868,0.03484011,-0.9011058,0.575463,2034-10-31 00:45:01.884000+00:00
26.924896,31.036896,24.977104,0.8282662,58.170616,64.9791,40.589405,3.457031,0.038402256,1.1894727,0.021144433,0.029488584,-0.5152828,0.87409943,2034-11-30 00:45:01.884000+00:00
28.14731,32.203346,25.702887,0.89024824,57.194542,65.39174,40.33922,3.7887814,0.038141225,0.6780109,0.020426456,0.025540225,-0.11198908,0.96573836,2034-12-31 00:45:01.884000+00:00
29.445194,33.046146,26.741026,0.92398477,52.13696,63.07234,35.3221,4.0113297,0.0393166,0.9088868,0.01913632,0.033398822,0.4583565,0.94764566,2035-01-31 00:45:01.884000+00:00
29.446852,33.2917,27.564768,0.7278141,50.061348,60.157475,33.97883,3.5909624,0.042615224,2.3212605,0.02019698,0.05903785,0.90372384,0.44578242,2035-02-28 00:45:01.884000+00:00
29.165073,32.87721,26.668785,0.7068397,48.267754,56.25892,34.294834,2.933034,0.044784315,2.8048296,0.021257468,0.06513063,0.9693975,-0.061372608,2035-03-31 00:45:01.884000+00:00
28.313137,31.750864,24.97935,0.7443428,42.989384,50.830296,32.12762,2.5029964,0.04380962,1.9240158,0.021703817,0.04750687,0.85786617,-0.48236912,2035-04-30 00:45:01.884000+00:00
