sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,pred_chlor_a_mean,pred_poc_mean,bleaching_risk
28.86294,33.6436,26.57445,0.9044928,44.893383,58.110012,29.352163,4.2520084,0.048957203,3.9591596,0.017588573,0.10254319,0.6286707,0.36146954,419.91913,2026-02-28 00:45:01.884,0.35069373,66.21939,0
28.782024,33.52731,26.128012,0.8883434,43.97027,54.832993,28.822878,3.7750142,0.046397075,4.032057,0.017910715,0.08699276,0.67975104,0.08289949,419.44128,2026-03-31 00:45:01.884,0.3160019,65.04968,0
28.189425,32.67294,24.669832,1.0776058,39.046944,49.07777,26.515316,3.5511222,0.04696146,4.7778926,0.018063731,0.090159684,0.7079802,-0.41405413,423.90442,2026-04-30 00:45:01.884,0.33323485,70.453766,0
27.153067,31.39898,22.185955,1.2390182,33.879375,44.92908,24.80727,3.3284383,0.04498183,5.080051,0.01809167,0.08224474,0.3420296,-0.718349,427.64246,2026-05-31 00:45:01.884,0.28085452,65.7716,0
26.38655,30.296288,19.869497,1.4196122,31.76065,43.039806,24.2785,2.915644,0.043334175,4.4216185,0.018508773,0.07002801,-0.07808742,-0.8929849,427.6049,2026-06-30 00:45:01.884,0.26215035,64.418816,0
25.929188,29.823603,19.083252,1.6036854,33.20758,45.298946,27.76094,2.4898446,0.04120255,2.8011384,0.019403784,0.051334277,-0.49232605,-0.6873011,427.17743,2026-07-31 00:45:01.884,0.240643,59.071537,0
26.256279,30.524565,19.848463,1.6031352,39.24895,49.902508,31.790379,2.4211202,0.039104443,1.6300308,0.019676086,0.038310956,-0.6944617,-0.39668384,426.84775,2026-08-31 00:45:01.884,0.21955565,57.49816,0
26.913925,31.60789,21.442165,1.3631401,47.013073,54.708893,35.53155,2.3781378,0.03764304,1.6225048,0.019426826,0.03654652,-0.82251936,-0.10030133,425.67136,2026-09-30 00:45:01.884,0.19214976,53.454113,1
27.571026,33.063854,23.691757,1.0596874,54.364872,60.14106,39.643574,2.786842,0.035959594,2.0966601,0.018670132,0.040998448,-0.87160826,0.47603658,421.5237,2026-10-31 00:45:01.884,0.19658303,51.11235,1
28.50873,33.344803,25.301878,0.89866793,55.711388,62.86984,39.90055,3.1771994,0.03570193,1.7810316,0.018402843,0.035655975,-0.55074286,0.8419457,420.3577,2026-11-30 00:45:01.884,0.1935871,51.15502,1
29.254969,33.870808,26.385088,0.78500086,53.610523,63.113865,34.95602,3.9165113,0.03770249,1.8208967,0.0176825,0.039910022,0.06560121,0.8847422,419.5734,2026-12-31 00:45:01.884,0.21015528,53.19142,0
29.32925,34.013615,26.659128,0.7219174,50.55907,61.4104,30.20916,4.327983,0.045504995,3.0574245,0.018149128,0.0780298,0.5266415,0.7041852,416.8779,2027-01-31 00:45:01.884,0.26284346,59.630127,0
29.346355,34.33421,27.097311,0.77780855,47.177795,58.361248,30.320797,3.8160777,0.049080998,4.122553,0.018615615,0.101537056,0.77357376,0.33061397,418.88635,2027-02-28 00:45:01.884,0.33164203,66.199455,0
29.233377,34.1073,27.010971,0.7689887,46.58867,55.05407,31.097862,3.2955568,0.04629001,3.633792,0.01911179,0.079297185,0.9117696,0.061477672,416.66742,2027-03-31 00:45:01.884,0.29596955,66.34218,0
28.51648,32.98748,25.487339,0.9268004,40.665485,48.13119,28.55233,3.011773,0.047011353,3.728677,0.01911758,0.07669356,0.8649062,-0.50221115,420.17294,2027-04-30 00:45:01.884,0.33432546,65.3399,0
27.31498,31.478725,22.360909,1.0820234,35.258354,42.20125,25.082613,2.8581614,0.045448266,4.6549325,0.01939784,0.07237966,0.45125538,-0.8364229,423.3898,2027-05-31 00:45:01.884,0.28726783,66.080795,0
26.075254,29.940062,20.118397,1.203303,34.37156,39.90208,25.246502,2.471379,0.04476258,5.157978,0.020604232,0.06772532,-0.09266265,-0.9127217,423.83978,2027-06-30 00:45:01.884,0.27691144,65.86182,0
25.280497,28.623968,19.375034,1.2568519,33.625565,41.552658,27.596462,2.253533,0.044908978,4.3656015,0.02200892,0.05979837,-0.45283428,-0.75893444,422.3314,2027-07-31 00:45:01.884,0.27649283,66.07591,0
24.79756,27.8664,20.399475,1.220855,38.452896,48.059944,31.887783,2.0948164,0.043045223,2.7548718,0.023166878,0.04654147,-0.86630154,-0.30227572,422.146,2027-08-31 00:45:01.884,0.24505982,63.180958,0
25.36551,28.810368,22.701994,1.0192165,49.058167,55.01042,36.889324,2.350594,0.041449342,1.9351413,0.022948384,0.03579454,-1.0916226,0.30637118,420.7108,2027-09-30 00:45:01.884,0.22662742,59.147705,0
26.595766,30.315826,24.19298,0.81822467,55.61776,60.80342,39.50638,3.241286,0.03981316,1.28019,0.021311983,0.032155182,-0.93062675,0.5930236,417.43204,2027-10-31 00:45:01.884,0.20085159,56.47301,0
27.73657,31.497803,25.294647,0.7831496,56.2229,63.100243,40.504578,3.5464258,0.038418304,1.0135071,0.020191196,0.034547344,-0.53770244,0.8237508,413.60703,2027-11-30 00:45:01.884,0.1930969,53.454887,1
28.905624,32.425537,26.32622,0.76932454,54.83269,63.77856,38.0271,3.7301235,0.03921097,1.7531213,0.019016162,0.043723453,-0.027866036,0.92096907,413.87775,2027-12-31 00:45:01.884,0.1859092,55.148888,1
29.09394,33.147438,26.69852,0.7501935,50.934063,61.63241,34.409348,4.036352,0.0444474,3.2638102,0.018733632,0.07970367,0.4583227,0.7164319,415.954,2028-01-31 00:45:01.884,0.24932837,59.115658,0
29.270275,33.42815,26.914291,0.7220293,49.701584,59.330357,33.529102,3.7340684,0.045960564,3.6269765,0.019257007,0.08983733,0.74083877,0.44818172,415.9898,2028-02-29 00:45:01.884,0.28284973,63.710423,0
29.19293,32.957306,26.80016,0.74027413,47.660736,55.149185,32.299145,3.366373,0.045454647,3.1875095,0.019616859,0.07552292,0.93778735,0.05765899,414.63303,2028-03-31 00:45:01.884,0.27741125,63.228806,0
